event_id,date,name,distance,finishers,year,finishers_n
126618,19.04.2026,6 ore del Mediterraneo (ITA),6h,28,2026,28
126177,19.04.2026,Spokane River Run 50K (USA),50km,100,2026,100
130916,19.04.2026,Longtan Middle Lake UTP100 Endurance Challenge (CHN),100km,32,2026,32
130917,19.04.2026,Longtan Middle Lake UTP50 Endurance Challenge (CHN),50km,11,2026,11
126858,19.-20.04.2026,Palmas RAP Backyard (BRA),38h,71,2026,71
130890,19.04.2026,UltraTrax Bear Creek Mountain (USA),28mi,101,2026,101
125485,18.04.2026,UFOREANighttime (USA),50km,20,2026,20
130603,18.04.2026,Ultra Santa Maria – Desafio Imembui (BRA),12h,55,2026,55
130946,18.-19.04.2026,ROCovery 24-Hour Run/Walk Challenge (USA),24h,23,2026,23
126109,18.04.2026,The 6 Hour Lions Roar Trail Race (USA),6h,5,2026,5
128647,18.04.2026,Søvind Hal-maraton (DEN),6h,5,2026,5
129688,18.04.2026,Steinfelder 50 KM Ultramarathon (GER),50km,29,2026,29
129592,18.04.2026,Kalmar Backyard Ultra (SWE),25h,59,2026,59
122385,18.04.2026,6 godzin pełnej MOCY (POL),6h,40,2026,40
130953,18.04.2026,6 godzin pełnej MOCY - 50km Split (POL),50km,39,2026,39
126089,18.04.2026,Run with the Goats 50km - Beer (USA),50km,19,2026,19
126090,18.04.2026,Run with the Goats 50km - Sober (USA),50km,4,2026,4
126091,18.04.2026,Run with the Goats 50km - Light (USA),50km,3,2026,3
125603,18.04.2026,Cottontail 6 Hour Race (USA),6h,1,2026,1
126068,18.04.2026,Outlands (USA),50km,46,2026,46
126962,18.04.2026,Woodside Purisima Creek Crossover (USA),50km,52,2026,52
122432,18.04.2026,Viborg 100 km (DEN),100km,45,2026,45
122433,18.04.2026,Viborg 50km (DEN),50km,69,2026,69
130952,18.04.2026,Viborg 100km - open race (DEN),100km,37,2026,37
129054,18.04.2026,Rock The Trail (SWE),45km,13,2026,13
129595,18.04.2026,Tjust Trail Run (SWE),46km,7,2026,7
125188,18.-19.04.2026,The Eternal Damnation Backyard (USA),29h,63,2026,63
125486,18.04.2026,UFOREA Daytime (USA),50km,43,2026,43
125487,18.04.2026,UFOREA Daytime (USA),100km/2 Etappen,8,2026,8
128083,18.04.2026,Gunpowder Keg Ultra (USA),50km,31,2026,31
126082,18.04.2026,Hyner View Trail Challenge 50 Km (USA),50km,391,2026,391
130947,18.-19.04.2026,Southern Grit Endurance Challenge (USA),24h,15,2026,15
130948,18.-19.04.2026,Southern Grit Endurance Challenge (USA),12h,22,2026,22
130949,18.04.2026,Southern Grit Endurance Challenge (USA),6h,3,2026,3
130950,18.04.2026,Southern Grit Endurance Challenge Ruck (USA),24h,6,2026,6
130951,18.04.2026,Southern Grit Endurance Challenge Ruck (USA),12h,5,2026,5
126093,18.04.2026,Loud Thunder 50 km Race (USA),50km,52,2026,52
126094,18.04.2026,Storm the Park (USA),50km,21,2026,21
126131,18.04.2026,Earth Day 50k (USA),50km,72,2026,72
122747,18.04.2026,Run to Remember (USA),8h,13,2026,13
122748,18.04.2026,Run to Remember (USA),50km,19,2026,19
125542,18.04.2026,Mendocino Coast 50K Ultra Trail Run (USA),50km,136,2026,136
126096,18.04.2026,Funest 50k (USA),50km,23,2026,23
129150,18.-19.04.2026,Backyard Ultra Club Kona (ARG),35h,41,2026,41
122650,18.04.2026,Whiskey Basin 60 km Trail Run (USA),60km,96,2026,96
126807,18.04.2026,Toughest N’ Texas Trail Runs 50K (USA),50km,27,2026,27
125544,18.04.2026,Rattler Trail Race 50K (USA),50km,80,2026,80
130921,18.04.2026,Gulf Coast Grind (USA),50km,23,2026,23
130922,18.04.2026,Squak Mountain 50 Km Trail Run (USA),50km,48,2026,48
125588,18.04.2026,West Texas 50km Ultra (USA),50km,20,2026,20
125602,18.04.2026,Cottontail 12 Hour Race (USA),12h,9,2026,9
126132,18.04.2026,Fondren Urban Ultra (USA),12h,107,2026,107
125147,18.04.2026,Coyote 50 km Trail Run (USA),50km,26,2026,26
126964,18.04.2026,Cedro Peak 50 Km Ultramarathon (USA),50km,44,2026,44
125587,18.04.2026,West Texas 50mi Ultra (USA),50mi,9,2026,9
128492,18.04.2026,Tuscany Crossing TC53K (ITA),53km,446,2026,446
125531,18.04.2026,Froggy Mountain Sweet Sixteen 50K (USA),50km,3,2026,3
125540,18.04.2026,Red Rocks of Sedona East Side The VUE 50 Miles (USA),50mi,37,2026,37
125541,18.04.2026,Red Rocks of Sedona East Side The VUE 34 Miles (USA),34mi,87,2026,87
125543,18.04.2026,Spitfire Ultra Trail Challenge (USA),55km,36,2026,36
122732,18.04.2026,English's Ridge Rumble 50 Km (USA),50km,52,2026,52
126067,18.04.2026,Outlands (USA),50mi,37,2026,37
125556,18.-19.04.2026,Leona Divide 100 Miles Run (USA),100Miles,44,2026,44
125557,18.04.2026,Leona Divide 100 Km Run (USA),100km,64,2026,64
125558,18.04.2026,Leona Divide 50 Mile Run (USA),50mi,81,2026,81
125559,18.04.2026,Leona Divide 50 km Run (USA),50km,97,2026,97
122745,18.04.2026,Shore2Shore Trail Race (USA),50km,149,2026,149
126079,18.04.2026,Traprock 50k Ultramarathon (USA),50km,81,2026,81
126080,18.-19.04.2026,FlatRock 101K Ultra Trail Race (USA),101km,8,2026,8
126081,18.-19.04.2026,Flatrock 50K (USA),50km,21,2026,21
129409,18.04.2026,Capitol Peak 50 Miler (USA),50mi,18,2026,18
126092,18.04.2026,Loud Thunder 50 Mile Race (USA),50mi,33,2026,33
125592,18.04.2026,Ouachita Trail 50 Mile (USA),50mi,53,2026,53
125593,18.04.2026,Ouachita Trail 50 km (USA),50km,96,2026,96
126108,18.04.2026,The 12 Hour Lions Roar Trail Race (USA),12h,20,2026,20
125146,18.04.2026,Coyote 50 Mile Trail Run (USA),50mi,13,2026,13
128490,18.-19.04.2026,Tuscany Crossing TC103K (ITA),103km,227,2026,227
122651,18.04.2026,Whiskey Basin 91 km Trail Run (USA),91km,92,2026,92
