year,bib,firstName,lastName,sex,nationality,category,raceTime_sec,raceTime_hrs,lastPointId,lastPointName,lastShortName,dnf_stage,dnf_distance_m,dnf_distance_km,dnf_elevation_gain,dnf_lat,dnf_lon,lastDateTime,startDate,penality,dnf_stage_inferred
2021,4,Aziz,EL AKAD,MALE,MA,V2 H,34947,9.7075,20,,,2.0,,,,,,2021-10-05T11:50:29.000+00:00,2021-10-03T09:04:04.000+00:00,0,2
2021,8,Hammou,MOUDOUJI,MALE,MA,V1 H,21907,6.0853,12,,,1.0,,,,,,2021-10-04T11:43:04.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,12,Guy,LOZZI,MALE,FR,V3 H,112871,31.3531,34,,,3.0,,,,,,2021-10-06T21:12:31.000+00:00,2021-10-03T09:04:04.000+00:00,0,3
2021,13,Rachid,AAMIMI EL AMRANI,MALE,MA,SE H,3522,0.9783,2,,,1.0,,,,,,2021-10-03T10:02:46.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,14,Amine,KABBAJ,MALE,MA,V3 H,111825,31.0625,32,,,3.0,,,,,,2021-10-06T17:36:13.000+00:00,2021-10-03T09:04:04.000+00:00,0,3
2021,19,Loic,VANDENHELSKEN,MALE,FR,V2 H,93445,25.9569,30,,,3.0,,,,,,2021-10-06T14:33:53.000+00:00,2021-10-03T09:04:04.000+00:00,0,3
2021,21,Jean Francois,WYGAS,MALE,FR,V2 H,46366,12.8794,16,,,1.0,,,,,,2021-10-05T08:43:48.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,24,Houda,TAOUFIQ MABILEAU,FEMALE,MA,V2 F,87922,24.4228,28,,,2.0,,,,,,2021-10-06T11:20:26.000+00:00,2021-10-03T09:04:04.000+00:00,0,2
2021,27,Solene,THIEBLIN,FEMALE,FR,SE F,34698,9.6383,10,,,1.0,,,,,,2021-10-04T11:59:14.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,36,Jean Luc,MARTIN,MALE,FR,V3 H,42153,11.7092,10,,,1.0,,,,,,2021-10-04T12:26:05.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,39,Berengere,DELAVAULT,FEMALE,FR,SE F,73372,20.3811,26,,,2.0,,,,,,2021-10-06T08:40:44.000+00:00,2021-10-03T09:04:04.000+00:00,0,2
2021,40,Frederic,LAMOUREUX,MALE,FR,V1 H,52001,14.4447,26,,,2.0,,,,,,2021-10-06T10:08:48.000+00:00,2021-10-03T09:04:04.000+00:00,0,2
2021,41,Veronique,AUZANNEAU,FEMALE,FR,V2 F,43990,12.2194,10,,,1.0,,,,,,2021-10-04T12:13:14.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,43,Olivier,DEPAIX,MALE,FR,V1 H,35736,9.9267,10,,,1.0,,,,,,2021-10-04T11:39:24.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,44,Nicolas,CACIOPPO,MALE,FR,V1 H,35733,9.9258,10,,,1.0,,,,,,2021-10-04T11:39:21.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,45,Ludovic,DUCERF,MALE,FR,V2 H,37934,10.5372,10,,,1.0,,,,,,2021-10-04T11:22:47.000+00:00,2021-10-03T09:04:04.000+00:00,1800,1
2021,48,Denis,MAUVISSEAU,MALE,FR,V2 H,101017,28.0603,26,,,2.0,,,,,,2021-10-06T08:40:44.000+00:00,2021-10-03T09:04:04.000+00:00,0,2
2021,50,Davy,GRACIA,MALE,FR,SE H,110378,30.6606,28,,,2.0,,,,,,2021-10-06T11:16:58.000+00:00,2021-10-03T09:04:04.000+00:00,0,2
2021,51,Julien,CHAPUZY,MALE,FR,V1 H,45968,12.7689,10,,,1.0,,,,,,2021-10-04T12:18:37.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,52,Valerie,DURST,FEMALE,FR,V1 F,45543,12.6508,10,,,1.0,,,,,,2021-10-04T12:11:39.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,53,Francois,CAYROCHE,MALE,FR,V2 H,45201,12.5558,10,,,1.0,,,,,,2021-10-04T12:05:59.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,58,Natacha,VIAULT,FEMALE,FR,V1 F,80584,22.3844,26,,,2.0,,,,,,2021-10-06T08:40:44.000+00:00,2021-10-03T09:04:04.000+00:00,0,2
2021,60,Adeline,GOURDON PORCHER,FEMALE,FR,ES F,25412,7.0589,8,,,1.0,,,,,,2021-10-04T08:37:58.000+00:00,2021-10-03T09:04:04.000+00:00,0,1
2021,62,Patrice,BOULOUK BACHI,MALE,FR,V2 H,70533,19.5925,26,,,2.0,,,,,,2021-10-06T08:40:44.000+00:00,2021-10-03T09:04:04.000+00:00,0,2
