rank_overall,performance,date,length,name,nationality,yob,rank_edition,gender,rank_gender,age_cat,rank_cat,finish_hours,year,tier
1,14:39:44 h,03.-12.04.1988,220km/6stages,"Gaudin, Bernard",FRA,1949.0,1,M,1,M35,1,14.662222222222223,1988,ELITE
2,15:18:15 h,03.-12.04.1988,220km/6stages,"Graig, Patrick",FRA,,2,M,2,#NA,,15.304166666666667,1988,ELITE
3,16:22:29 h,29.03.-04.04.1998,229km/6stages,"Ahansal, Mohamad",MAR,1973.0,1,M,1,M20,1,16.37472222222222,1998,ELITE
4,16:24:11 h,03.-12.04.1988,220km/6stages,"Monnery, Patrick",FRA,,3,M,3,#NA,,16.403055555555554,1988,ELITE
5,16:27:26 h,30.03.-04.04.2009,202.2km/4stages,"Ahansal, Mohamad",MAR,1973.0,1,M,1,M35,1,16.45722222222222,2009,ELITE
6,16:31:40 h,30.03.-04.04.2009,202.2km/4stages,"El Akad, Aziz",MAR,1968.0,2,M,2,M40,1,16.52777777777778,2009,ELITE
7,16:34:32 h,29.03.-04.04.1998,229km/6stages,"Ahansal, Lahcen",MAR,1971.0,2,M,2,M20,2,16.575555555555557,1998,ELITE
8,16:40:43 h,19.-25.03.1989,209km/6stages,"Sebtaoui, Hassan",FRA,,1,M,1,#NA,,16.678611111111113,1989,ELITE
9,16:51:50 h,03.-12.04.1988,220km/6stages,"Letailleur, Patrick",FRA,,4,M,4,#NA,,16.86388888888889,1988,ELITE
10,16:55:46 h,09.-18.04.1994,220km/6stages,"Derksen, Andrei",RUS,1964.0,1,M,1,M30,1,16.929444444444446,1994,ELITE
11,17:13:58 h,07.-12.04.1997,220km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M20,1,17.232777777777777,1997,ELITE
12,17:14:01 h,09.-15.04.2006,212km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M35,1,17.233611111111113,2006,ELITE
13,17:15:01 h,02.-12.04.1999,225km/6stages,"Ahansal, Lahcen",MAR,1971.0,1,M,1,M20,1,17.25027777777778,1999,ELITE
